Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,11972434,0,65,372.67727409042965,3.7435000012919772,5508.560800000851,36.0,415.72643995233653,0.0,65,69,75,84,1900,2300,2700,2900,3600,4100,5500
,Aggregated,11972434,0,65,372.67727409042965,3.7435000012919772,5508.560800000851,36.0,415.72643995233653,0.0,65,69,75,84,1900,2300,2700,2900,3600,4100,5500
